Datetime,Resolution code,Elia Grid Load
2025-03-29T08:00:00+01:00,PT15M,5292.842
2025-03-29T07:45:00+01:00,PT15M,5462.519
2025-03-29T07:30:00+01:00,PT15M,5714.56
2025-03-29T07:15:00+01:00,PT15M,5968.628
2025-03-29T07:00:00+01:00,PT15M,6050.546
2025-03-29T06:45:00+01:00,PT15M,6155.6
2025-03-29T06:30:00+01:00,PT15M,6197.406
2025-03-29T06:15:00+01:00,PT15M,6185.73
2025-03-29T06:00:00+01:00,PT15M,6183.767
2025-03-29T05:45:00+01:00,PT15M,6155.4
2025-03-29T05:30:00+01:00,PT15M,5969.816
2025-03-29T05:15:00+01:00,PT15M,5955.49
2025-03-29T05:00:00+01:00,PT15M,5977.935
2025-03-29T04:45:00+01:00,PT15M,5900.233
2025-03-29T04:30:00+01:00,PT15M,5906.524
2025-03-29T04:15:00+01:00,PT15M,5891.627
2025-03-29T04:00:00+01:00,PT15M,5914.615
2025-03-29T03:45:00+01:00,PT15M,5905.891
2025-03-29T03:30:00+01:00,PT15M,5919.816
2025-03-29T03:15:00+01:00,PT15M,6061.965
2025-03-29T03:00:00+01:00,PT15M,6143.849
2025-03-29T02:45:00+01:00,PT15M,6214.706
2025-03-29T02:30:00+01:00,PT15M,6263.208
2025-03-29T02:15:00+01:00,PT15M,6310.456
2025-03-29T02:00:00+01:00,PT15M,6338.177
2025-03-29T01:45:00+01:00,PT15M,6392.503
2025-03-29T01:30:00+01:00,PT15M,6431.434
2025-03-29T01:15:00+01:00,PT15M,6444.987
2025-03-29T01:00:00+01:00,PT15M,6613.501
2025-03-29T00:45:00+01:00,PT15M,6716.622
2025-03-29T00:30:00+01:00,PT15M,6719.753
2025-03-29T00:15:00+01:00,PT15M,6920.439
2025-03-29T00:00:00+01:00,PT15M,7148.123
2025-03-28T23:45:00+01:00,PT15M,7276.426
2025-03-28T23:30:00+01:00,PT15M,7283.913
2025-03-28T23:15:00+01:00,PT15M,7391.175
2025-03-28T23:00:00+01:00,PT15M,7596.964
2025-03-28T22:45:00+01:00,PT15M,7610.351
2025-03-28T22:30:00+01:00,PT15M,7656.623
2025-03-28T22:15:00+01:00,PT15M,7605.135
2025-03-28T22:00:00+01:00,PT15M,7646.311
2025-03-28T21:45:00+01:00,PT15M,7823.727
2025-03-28T21:30:00+01:00,PT15M,7960.475
2025-03-28T21:15:00+01:00,PT15M,8005.599
2025-03-28T21:00:00+01:00,PT15M,8139.218
2025-03-28T20:45:00+01:00,PT15M,8352.92
2025-03-28T20:30:00+01:00,PT15M,8445.22
2025-03-28T20:15:00+01:00,PT15M,8579.708
2025-03-28T20:00:00+01:00,PT15M,8670.377
2025-03-28T19:45:00+01:00,PT15M,8842.284
2025-03-28T19:30:00+01:00,PT15M,8944.303
2025-03-28T19:15:00+01:00,PT15M,8946.311
2025-03-28T19:00:00+01:00,PT15M,9042.825
2025-03-28T18:45:00+01:00,PT15M,9117.226
2025-03-28T18:30:00+01:00,PT15M,9045.59
2025-03-28T18:15:00+01:00,PT15M,8923.283
2025-03-28T18:00:00+01:00,PT15M,8666.762
2025-03-28T17:45:00+01:00,PT15M,8491.118
2025-03-28T17:30:00+01:00,PT15M,8231.645
2025-03-28T17:15:00+01:00,PT15M,7962.972
2025-03-28T17:00:00+01:00,PT15M,7728.038
2025-03-28T16:45:00+01:00,PT15M,7249.312
2025-03-28T16:30:00+01:00,PT15M,6964.339
2025-03-28T16:15:00+01:00,PT15M,6813.178
2025-03-28T16:00:00+01:00,PT15M,6601.422
2025-03-28T15:45:00+01:00,PT15M,6366.878
2025-03-28T15:30:00+01:00,PT15M,6166.403
2025-03-28T15:15:00+01:00,PT15M,6049.303
2025-03-28T15:00:00+01:00,PT15M,5968.628
2025-03-28T14:45:00+01:00,PT15M,5800.918
2025-03-28T14:30:00+01:00,PT15M,5631.983
2025-03-28T14:15:00+01:00,PT15M,5611.114
2025-03-28T14:00:00+01:00,PT15M,5517.425
2025-03-28T13:45:00+01:00,PT15M,5485.095
2025-03-28T13:30:00+01:00,PT15M,5589.443
2025-03-28T13:15:00+01:00,PT15M,5560.148
2025-03-28T13:00:00+01:00,PT15M,5754.647
2025-03-28T12:45:00+01:00,PT15M,5853.061
2025-03-28T12:30:00+01:00,PT15M,5880.531
2025-03-28T12:15:00+01:00,PT15M,5892.71
2025-03-28T12:00:00+01:00,PT15M,5921.46
2025-03-28T11:45:00+01:00,PT15M,5987.436
2025-03-28T11:30:00+01:00,PT15M,6106.956
2025-03-28T11:15:00+01:00,PT15M,6119.773
2025-03-28T11:00:00+01:00,PT15M,6290.286
2025-03-28T10:45:00+01:00,PT15M,6433.423
2025-03-28T10:30:00+01:00,PT15M,6341.397
2025-03-28T10:15:00+01:00,PT15M,6490.125
2025-03-28T10:00:00+01:00,PT15M,6585.59
2025-03-28T09:45:00+01:00,PT15M,6888.838
2025-03-28T09:30:00+01:00,PT15M,7129.847
2025-03-28T09:15:00+01:00,PT15M,7321.304
2025-03-28T09:00:00+01:00,PT15M,7502.565
2025-03-28T08:45:00+01:00,PT15M,7701.086
2025-03-28T08:30:00+01:00,PT15M,7847.565
2025-03-28T08:15:00+01:00,PT15M,7942.821
2025-03-28T08:00:00+01:00,PT15M,7954.601
2025-03-28T07:45:00+01:00,PT15M,8041.77
2025-03-28T07:30:00+01:00,PT15M,8056.186
2025-03-28T07:15:00+01:00,PT15M,8172.245
2025-03-28T07:00:00+01:00,PT15M,8145.122
2025-03-28T06:45:00+01:00,PT15M,8117.38
2025-03-28T06:30:00+01:00,PT15M,7964.722
2025-03-28T06:15:00+01:00,PT15M,7814.615
2025-03-28T06:00:00+01:00,PT15M,7792.432
2025-03-28T05:45:00+01:00,PT15M,7283.112
2025-03-28T05:30:00+01:00,PT15M,7122.802
2025-03-28T05:15:00+01:00,PT15M,6964.614
2025-03-28T05:00:00+01:00,PT15M,6826.05
2025-03-28T04:45:00+01:00,PT15M,6633.758
2025-03-28T04:30:00+01:00,PT15M,6617.535
2025-03-28T04:15:00+01:00,PT15M,6649.552
2025-03-28T04:00:00+01:00,PT15M,6627.382
2025-03-28T03:45:00+01:00,PT15M,6716.01
2025-03-28T03:30:00+01:00,PT15M,6746.099
2025-03-28T03:15:00+01:00,PT15M,6715.341
2025-03-28T03:00:00+01:00,PT15M,6804.689
2025-03-28T02:45:00+01:00,PT15M,6885.901
2025-03-28T02:30:00+01:00,PT15M,6948.372
2025-03-28T02:15:00+01:00,PT15M,6858.783
2025-03-28T02:00:00+01:00,PT15M,7040.478
2025-03-28T01:45:00+01:00,PT15M,7102.712
2025-03-28T01:30:00+01:00,PT15M,7222.51
2025-03-28T01:15:00+01:00,PT15M,7132.113
2025-03-28T01:00:00+01:00,PT15M,7241.784
2025-03-28T00:45:00+01:00,PT15M,7458.388
